sentence_id,factor_id,domain_id,canonical_meaning,surface_family,split,sentence_text,hard_negative_factor_ids,language
A1_00,A1,A,the object is hot,F1,train,The object is hot.,"[""A3"", ""A2"", ""A4""]",en
A1_01,A1,A,the object is hot,F1,train,The thing is hot.,"[""A3"", ""A2"", ""A4""]",en
A1_02,A1,A,the object is hot,F2,train,The item has a high temperature.,"[""A3"", ""A2"", ""A4""]",en
A1_03,A1,A,the object is hot,F2,train,The object exhibits intense heat.,"[""A3"", ""A2"", ""A4""]",en
A1_04,A1,A,the object is hot,F3,val,What characterizes the object is its high temperature.,"[""A3"", ""A2"", ""A4""]",en
A1_05,A1,A,the object is hot,F3,val,Hot is how the object would be described.,"[""A3"", ""A2"", ""A4""]",en
A1_06,A1,A,the object is hot,F3,val,"The object, notably hot, is defined by its heat.","[""A3"", ""A2"", ""A4""]",en
A1_07,A1,A,the object is hot,F3,val,It is the heat of the object that makes it stand out.,"[""A3"", ""A2"", ""A4""]",en
A1_08,A1,A,the object is hot,F4,test,Touching it would cause immediate discomfort from heat.,"[""A3"", ""A2"", ""A4""]",en
A1_09,A1,A,the object is hot,F4,test,It radiates enough heat to be very uncomfortable.,"[""A3"", ""A2"", ""A4""]",en
A1_10,A1,A,the object is hot,F5,test,"Upon contact, one immediately notices the intense heat.","[""A3"", ""A2"", ""A4""]",en
A1_11,A1,A,the object is hot,F5,test,"When touched, the surface feels noticeably hot.","[""A3"", ""A2"", ""A4""]",en
A2_00,A2,A,the object is cold,F1,train,The object is cold.,"[""A4"", ""A3"", ""A1""]",en
A2_01,A2,A,the object is cold,F1,train,The thing is cold.,"[""A4"", ""A3"", ""A1""]",en
A2_02,A2,A,the object is cold,F2,train,The item has a low temperature.,"[""A4"", ""A3"", ""A1""]",en
A2_03,A2,A,the object is cold,F2,train,The object registers a cold temperature.,"[""A4"", ""A3"", ""A1""]",en
A2_04,A2,A,the object is cold,F3,val,Cold is how the object would be described.,"[""A4"", ""A3"", ""A1""]",en
A2_05,A2,A,the object is cold,F3,val,What characterizes the object is its low temperature.,"[""A4"", ""A3"", ""A1""]",en
A2_06,A2,A,the object is cold,F3,val,"The object, notably cold, is defined by its chill.","[""A4"", ""A3"", ""A1""]",en
A2_07,A2,A,the object is cold,F3,val,It is the coldness of the object that is noticeable.,"[""A4"", ""A3"", ""A1""]",en
A2_08,A2,A,the object is cold,F4,test,Touching it produces a strong cold sensation.,"[""A4"", ""A3"", ""A1""]",en
A2_09,A2,A,the object is cold,F4,test,It draws heat from the hand upon contact.,"[""A4"", ""A3"", ""A1""]",en
A2_10,A2,A,the object is cold,F5,test,"Upon contact, the cold is immediately apparent.","[""A4"", ""A3"", ""A1""]",en
A2_11,A2,A,the object is cold,F5,test,"When touched, the surface sends a chill through one's fingers.","[""A4"", ""A3"", ""A1""]",en
A3_00,A3,A,the object is warm,F1,train,The object is warm.,"[""A4"", ""A1"", ""A2""]",en
A3_01,A3,A,the object is warm,F1,train,The thing is warm.,"[""A4"", ""A1"", ""A2""]",en
A3_02,A3,A,the object is warm,F2,train,The item has a moderate warmth.,"[""A4"", ""A1"", ""A2""]",en
A3_03,A3,A,the object is warm,F2,train,The object has a pleasantly elevated temperature.,"[""A4"", ""A1"", ""A2""]",en
A3_04,A3,A,the object is warm,F3,val,Warm is how the object would be described.,"[""A4"", ""A1"", ""A2""]",en
A3_05,A3,A,the object is warm,F3,val,What characterizes the object is its gentle warmth.,"[""A4"", ""A1"", ""A2""]",en
A3_06,A3,A,the object is warm,F3,val,"The object, which is warm, gives off gentle heat.","[""A4"", ""A1"", ""A2""]",en
A3_07,A3,A,the object is warm,F3,val,It is the warmth of the object that makes it comfortable.,"[""A4"", ""A1"", ""A2""]",en
A3_08,A3,A,the object is warm,F4,test,Touching it gives a pleasant warm sensation.,"[""A4"", ""A1"", ""A2""]",en
A3_09,A3,A,the object is warm,F4,test,It gives off mild heat without being uncomfortable.,"[""A4"", ""A1"", ""A2""]",en
